('Total Revenue', '261,802,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         728010 function calls (708504 primitive calls) in 2.335 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1094    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      988    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
      936    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      914    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      907    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      905    0.000    0.000    0.000    0.000 socket.py:732(readable)
      903    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      903    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      903    0.001    0.000    1.414    0.002 ssl.py:1095(read)
      903    0.001    0.000    1.417    0.002 socket.py:693(readinto)
      903    0.001    0.000    1.415    0.002 ssl.py:1237(recv_into)
      903    1.413    0.002    1.413    0.002 {method 'read' of '_ssl._SSLSocket' objects}
      857    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      855    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      855    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      833    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
      825    0.000    0.000    0.000    0.000 element.py:1543(get)
      816    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      772    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
      772    0.005    0.000    0.007    0.000 _compiler.py:243(_optimize_charset)
      725    0.002    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
      710    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
      680    0.004    0.000    0.004    0.000 {built-in method posix.stat}
      680    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      671    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      591    0.000    0.000    0.000    0.000 _parser.py:83(groups)
  557/539    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      502    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      500    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      478    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      478    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      472    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      428    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      428    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      425    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
      416    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      412    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
  409/405    0.006    0.000    0.084    0.000 {built-in method builtins.__build_class__}
      404    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      397    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      385    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      375    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      353    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
    351/8    0.000    0.000    0.204    0.026 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      347    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      343    0.000    0.000    0.000    0.000 typing.py:1134(_is_dunder)
      339    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      338    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      338    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      325    0.001    0.000    0.004    0.000 css_parser.py:1094(selector_iter)
      320    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      320    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
      318    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      318    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      317    0.000    0.000    0.000    0.000 typing.py:1188(__setattr__)
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
