('Total Revenue', '261,802,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         728020 function calls (708499 primitive calls) in 1.941 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.020    0.020 _base_connection.py:1(<module>)
        1    0.000    0.000    0.020    0.020 css_parser.py:316(__init__)
        2    0.000    0.000    0.020    0.010 connection.py:1(<module>)
     2779    0.005    0.000    0.020    0.000 element.py:1199(__init__)
    25760    0.019    0.000    0.019    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.019    0.019 ssl.py:529(load_default_certs)
        1    0.019    0.019    0.019    0.019 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.019    0.019 feedparser.py:1(<module>)
     5523    0.003    0.000    0.018    0.000 element.py:2303(search)
       14    0.000    0.000    0.018    0.001 css_parser.py:1135(process_selectors)
    52/14    0.001    0.000    0.018    0.001 css_parser.py:911(parse_selectors)
        1    0.000    0.000    0.018    0.018 _policybase.py:1(<module>)
      125    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        1    0.000    0.000    0.017    0.017 ssl_.py:1(<module>)
        2    0.000    0.000    0.015    0.007 utils.py:1(<module>)
85238/85230    0.013    0.000    0.015    0.000 {built-in method builtins.isinstance}
      125    0.015    0.000    0.015    0.000 {built-in method marshal.loads}
     2795    0.002    0.000    0.014    0.000 element.py:2240(search_tag)
        1    0.000    0.000    0.014    0.014 url.py:1(<module>)
      171    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     2660    0.007    0.000    0.012    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
    42/30    0.000    0.000    0.011    0.000 css_parser.py:569(parse_pseudo_class)
    38/29    0.000    0.000    0.011    0.000 css_parser.py:732(parse_pseudo_open)
      153    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      153    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
4167/1476    0.005    0.000    0.010    0.000 element.py:2336(_matches)
      772    0.007    0.000    0.009    0.000 _compiler.py:243(_optimize_charset)
      338    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
    21923    0.006    0.000    0.008    0.000 _parser.py:168(__getitem__)
     2778    0.002    0.000    0.008    0.000 parser.py:345(check_for_whole_start_tag)
     2711    0.003    0.000    0.008    0.000 __init__.py:620(object_was_parsed)
        1    0.000    0.000    0.008    0.008 parse.py:1(<module>)
    68666    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
    12524    0.005    0.000    0.007    0.000 _parser.py:261(get)
     2777    0.004    0.000    0.007    0.000 __init__.py:688(_popToTag)
     2711    0.002    0.000    0.007    0.000 element.py:943(__new__)
  152/149    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      160    0.001    0.000    0.007    0.000 _compiler.py:511(_compile_info)
       77    0.002    0.000    0.006    0.000 css_parser.py:462(parse_attribute_selector)
        2    0.000    0.000    0.006    0.003 abc.py:1(<module>)
53517/48971    0.005    0.000    0.006    0.000 {built-in method builtins.len}
    11085    0.004    0.000    0.006    0.000 _markupbase.py:44(updatepos)
3308/3282    0.005    0.000    0.006    0.000 {built-in method __new__ of type object at 0xa44b40}
     5859    0.001    0.000    0.006    0.000 {built-in method builtins.next}
